"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5757","visit https://piezonis.com/","","Fri Jan 02 16:53:46 UTC 2026","passed","Fri Jan 02 16:53:51 UTC 2026","","piezonis.test.ts","",""
"","4779","visit https://piezonis.com/apply-franchise","Mobile Chrome","Fri Jan 02 16:53:32 UTC 2026","passed","Fri Jan 02 16:53:37 UTC 2026","","piezonis.test.ts","",""
"","7196","visit https://piezonis.com/apply-now","Mobile Chrome","Fri Jan 02 16:53:37 UTC 2026","passed","Fri Jan 02 16:53:44 UTC 2026","","piezonis.test.ts","",""
"","5650","visit https://piezonis.com/careers","chromium","Fri Jan 02 16:51:38 UTC 2026","passed","Fri Jan 02 16:51:43 UTC 2026","","piezonis.test.ts","",""
"","5630","visit https://piezonis.com/locations","Mobile Chrome","Fri Jan 02 16:52:38 UTC 2026","passed","Fri Jan 02 16:52:44 UTC 2026","","piezonis.test.ts","",""
"","5385","visit https://piezonis.com/piezonis-cares","chromium","Fri Jan 02 16:50:35 UTC 2026","passed","Fri Jan 02 16:50:40 UTC 2026","","piezonis.test.ts","",""
"","4807","visit https://piezonis.com/loc/catering-inquiry","Mobile Chrome","Fri Jan 02 16:53:22 UTC 2026","passed","Fri Jan 02 16:53:27 UTC 2026","","piezonis.test.ts","",""
"","5734","visit https://piezonis.com/catering","chromium","Fri Jan 02 16:51:04 UTC 2026","passed","Fri Jan 02 16:51:10 UTC 2026","","piezonis.test.ts","",""
"","5053","visit https://piezonis.com/loc/catering-inquiry","","Fri Jan 02 16:55:03 UTC 2026","passed","Fri Jan 02 16:55:08 UTC 2026","","piezonis.test.ts","",""
"","5320","visit https://piezonis.com/loc/warwick-pizza/","","Fri Jan 02 16:55:08 UTC 2026","passed","Fri Jan 02 16:55:13 UTC 2026","","piezonis.test.ts","",""
"","5259","visit https://piezonis.com/apply-franchise","chromium","Fri Jan 02 16:51:53 UTC 2026","passed","Fri Jan 02 16:51:59 UTC 2026","","piezonis.test.ts","",""
"","4920","visit https://piezonis.com/loc/warwick-pizza/","Mobile Chrome","Fri Jan 02 16:53:27 UTC 2026","passed","Fri Jan 02 16:53:32 UTC 2026","","piezonis.test.ts","",""
"","5266","visit https://piezonis.com/piezonis-cares","Mobile Chrome","Fri Jan 02 16:52:16 UTC 2026","passed","Fri Jan 02 16:52:21 UTC 2026","","piezonis.test.ts","",""
"","6580","visit https://piezonis.com/menu","","Fri Jan 02 16:54:12 UTC 2026","passed","Fri Jan 02 16:54:19 UTC 2026","","piezonis.test.ts","",""
"","7192","visit https://piezonis.com/apply-now","chromium","Fri Jan 02 16:51:59 UTC 2026","passed","Fri Jan 02 16:52:06 UTC 2026","","piezonis.test.ts","",""
"","5530","visit https://piezonis.com/contact-us","chromium","Fri Jan 02 16:51:21 UTC 2026","passed","Fri Jan 02 16:51:27 UTC 2026","","piezonis.test.ts","",""
"","5270","visit https://piezonis.com/franchises","","Fri Jan 02 16:54:36 UTC 2026","passed","Fri Jan 02 16:54:41 UTC 2026","","piezonis.test.ts","",""
"","5448","visit https://piezonis.com/catering","Mobile Chrome","Fri Jan 02 16:52:44 UTC 2026","passed","Fri Jan 02 16:52:50 UTC 2026","","piezonis.test.ts","",""
"","5055","visit https://piezonis.com/apply-franchise","","Fri Jan 02 16:55:13 UTC 2026","passed","Fri Jan 02 16:55:19 UTC 2026","","piezonis.test.ts","",""
